player_names,position,team,opp,minutes,possessions,fd_points,points,assists,rebounds,offensive_rebounds,defensive_rebounds,blocks,steals,fouls,turnovers,two_pt_attempts,two_pt_fg,three_pt_attempts,three_pt_fg,free_throw_attempts,free_throws_made,roster_pos,confirmed,double_doubles,triple_doubles,injury,site,fd_std,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,timestamp,date,slate_id,gid,matchup,effective_fg_percentage,sports_book,bet_type,over/under,odds,stat_threshold
De'Anthony Melton,SG/PG,PHI,OKC,35.3907,70.939,29.0293,10.974,3.60933,5.553,1.32567,4.22733,0.65,1.84767,3.03467,1.51533,3.60533,1.69133,5.67333,2.17167,1.41,1.07633,SG/PG,False,0.0376667,0.0,,fd,8.55087,23.0,28.8,34.8,37.8,43.3,51.002,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,53.33566484815696,fanduel,player_points,Over,1.87,12.5
De'Anthony Melton,SG/PG,PHI,OKC,35.3907,70.939,29.0293,10.974,3.60933,5.553,1.32567,4.22733,0.65,1.84767,3.03467,1.51533,3.60533,1.69133,5.67333,2.17167,1.41,1.07633,SG/PG,False,0.0376667,0.0,,fd,8.55087,23.0,28.8,34.8,37.8,43.3,51.002,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,53.33566484815696,fanduel,player_points,Under,1.9,12.5
De'Anthony Melton,SG/PG,PHI,OKC,35.3907,70.939,29.0293,10.974,3.60933,5.553,1.32567,4.22733,0.65,1.84767,3.03467,1.51533,3.60533,1.69133,5.67333,2.17167,1.41,1.07633,SG/PG,False,0.0376667,0.0,,fd,8.55087,23.0,28.8,34.8,37.8,43.3,51.002,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,53.33566484815696,fanduel,player_points_rebounds,Over,1.9,17.5
De'Anthony Melton,SG/PG,PHI,OKC,35.3907,70.939,29.0293,10.974,3.60933,5.553,1.32567,4.22733,0.65,1.84767,3.03467,1.51533,3.60533,1.69133,5.67333,2.17167,1.41,1.07633,SG/PG,False,0.0376667,0.0,,fd,8.55087,23.0,28.8,34.8,37.8,43.3,51.002,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,53.33566484815696,fanduel,player_points_rebounds,Under,1.87,17.5
De'Anthony Melton,SG/PG,PHI,OKC,35.3907,70.939,29.0293,10.974,3.60933,5.553,1.32567,4.22733,0.65,1.84767,3.03467,1.51533,3.60533,1.69133,5.67333,2.17167,1.41,1.07633,SG/PG,False,0.0376667,0.0,,fd,8.55087,23.0,28.8,34.8,37.8,43.3,51.002,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,53.33566484815696,fanduel,player_rebounds,Over,1.88,4.5
De'Anthony Melton,SG/PG,PHI,OKC,35.3907,70.939,29.0293,10.974,3.60933,5.553,1.32567,4.22733,0.65,1.84767,3.03467,1.51533,3.60533,1.69133,5.67333,2.17167,1.41,1.07633,SG/PG,False,0.0376667,0.0,,fd,8.55087,23.0,28.8,34.8,37.8,43.3,51.002,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,53.33566484815696,fanduel,player_rebounds,Under,1.88,4.5
De'Anthony Melton,SG/PG,PHI,OKC,35.3907,70.939,29.0293,10.974,3.60933,5.553,1.32567,4.22733,0.65,1.84767,3.03467,1.51533,3.60533,1.69133,5.67333,2.17167,1.41,1.07633,SG/PG,False,0.0376667,0.0,,fd,8.55087,23.0,28.8,34.8,37.8,43.3,51.002,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,53.33566484815696,fanduel,player_threes,Over,2.14,2.5
De'Anthony Melton,SG/PG,PHI,OKC,35.3907,70.939,29.0293,10.974,3.60933,5.553,1.32567,4.22733,0.65,1.84767,3.03467,1.51533,3.60533,1.69133,5.67333,2.17167,1.41,1.07633,SG/PG,False,0.0376667,0.0,,fd,8.55087,23.0,28.8,34.8,37.8,43.3,51.002,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,53.33566484815696,fanduel,player_threes,Under,1.68,2.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_assists,Over,1.82,6.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_assists,Under,1.96,6.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_points,Over,1.93,25.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_points,Under,1.85,25.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_points_assists,Over,1.96,32.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_points_assists,Under,1.82,32.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_points_rebounds,Over,1.88,29.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_points_rebounds,Under,1.88,29.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_points_rebounds_assists,Over,1.9,36.5
Tyrese Maxey,PG,PHI,OKC,37.7892,75.9183,40.9332,24.8183,6.293,3.555,0.834667,2.72033,0.624333,0.805,3.25967,1.87867,11.0077,5.56367,7.922,3.17133,4.732,4.177,PG,False,0.100667,0.0,,fd,9.72697,34.0,40.6,47.4,51.3,57.4,63.301,1700917594000,20231125,6672db22-ad26-4ed7-aa02-f3ed91ec4f4d,dcd68690-8175-4f28-8c19-d98b24c7694f,PHI vs OKC,54.52101723746282,fanduel,player_points_rebounds_assists,Under,1.87,36.5
