player_names,bet_type,over/under,stat_threshold,odds,us_odds,implied_probability,sportsbook_prob,edge,ev,composite_z_score
Rudy Gobert,player_points_alternate,Over,13.5,1.65,-153,0.5763424469020151,0.6047430830039525,-0.028400636101937438,-0.0469631433581057,0.35285590755025825
Bam Adebayo,player_points_alternate,Over,18.5,1.65,-153,0.5748154006868265,0.6047430830039525,-0.02992768231712606,-0.04948825899498627,0.32488235955943917
Naz Reid,player_points_alternate,Over,10.5,1.56,-178,0.5929328383648744,0.6402877697841727,-0.04735493141929825,-0.07395882547508376,0.25768473887608245
Luguentz Dort,player_points_alternate,Over,9.5,1.56,-178,0.5960996177088371,0.6402877697841727,-0.04418815207533555,-0.06901295661204088,0.3145880050407229
Jordan Poole,player_points_alternate,Over,14.5,1.65,-153,0.5906212726159892,0.6047430830039525,-0.01412181038796334,-0.02335175181800475,0.6144258668543757
Kevin Love,player_rebounds_alternate,Under,6.5,1.36,-277,0.5437820699284446,0.7347480106100795,-0.19096594068163497,-0.2599067134908895,-1.5508926701814965
Luka Doncic,player_rebounds_alternate,Under,10.5,1.36,-277,0.5002969691383818,0.7347480106100795,-0.2344510414716977,-0.3190904066239352,-2.2989860599804604
Clint Capela,player_points_alternate,Under,13.5,1.54,-185,0.5886607071766501,0.6491228070175439,-0.06046209984089379,-0.09314431597110662,0.08559422337708594
Xavier Tillman,player_rebounds_alternate,Under,8.5,1.5,-200,0.5163931803304431,0.6666666666666666,-0.1502734863362235,-0.2254102295043353,-1.3814850227599067
Devin Vassell,player_points_alternate,Over,15.5,1.53,-188,0.5788575339563395,0.6527777777777778,-0.07392024382143825,-0.11323952244986285,-0.12849814142092172
Jarrett Allen,player_rebounds_alternate,Under,13.5,1.38,-263,0.4761389222996532,0.7245179063360881,-0.24837898403643494,-0.3428196623772847,-2.6245618766527605
Stephen Curry,player_points,Under,28.5,1.71,-140,0.568078917755006,0.5833333333333334,-0.015254415578327407,-0.02615042670570411,0.4483132051177317
Luka Doncic,player_points,Under,35.5,1.87,-114,0.5570842507190713,0.5327102803738317,0.02437397034523958,0.0457546460866779,0.863189900963245
Anthony Edwards,player_rebounds_alternate,Under,6.5,1.36,-277,0.5230245949031864,0.7347480106100795,-0.21172341570689313,-0.28815786181046465,-1.907992678533352
Jerami Grant,player_points_alternate,Under,20.5,1.65,-153,0.5769750103700626,0.6047430830039525,-0.027768072633889918,-0.04591713971486372,0.3644436672098312
Jalen Duren,player_points_alternate,Over,14.5,1.67,-149,0.5803074135524309,0.5983935742971888,-0.018086160744757884,-0.03022452366070283,0.498529983752166
Isaiah Joe,player_points_alternate,Over,7.5,1.67,-149,0.5977959409594388,0.5983935742971888,-0.000597633337749981,-0.0009987295375822325,0.820067297615107
Daniel Gafford,player_points_alternate,Over,8.5,1.59,-169,0.5831058025996073,0.6282527881040892,-0.04514698550448193,-0.07186117811068427,0.2124805751192753
Kevin Durant,player_points_alternate,Over,28.5,1.74,-135,0.5603942916380535,0.574468085106383,-0.014073793468329487,-0.024498825667092106,0.4100639210080563
Jusuf Nurkic,player_rebounds_alternate,Over,9.5,1.36,-277,0.6521373278194813,0.7347480106100795,-0.08261068279059824,-0.11243403397853988,0.3131906757347778
Deni Avdija,player_rebounds_alternate,Over,4.5,1.47,-212,0.6193251835022451,0.6794871794871795,-0.060161995984934435,-0.08854029597782809,0.3079084839157199
Bojan Bogdanovic,player_points_alternate,Over,18.5,1.62,-161,0.5763467794200726,0.6168582375478927,-0.04051145812782009,-0.06567385448050334,0.21627693026068204
Donovan Mitchell,player_points_alternate,Over,29.5,1.61,-163,0.5563806190599037,0.6197718631178707,-0.06339124405796703,-0.10228157783586095,-0.17887546456531866
Devin Booker,player_assists_alternate,Under,8.5,1.35,-285,0.45243055180687564,0.7402597402597403,-0.28782918845286465,-0.3888218861556242,-3.1696414091733947
Marvin Bagley,player_points_alternate,Over,8.5,1.69,-144,0.5950067166262133,0.5901639344262295,0.004842782199983797,0.008205825394416943,0.8660029788686879
Klay Thompson,player_points_alternate,Over,17.5,1.57,-175,0.5732520843166005,0.6363636363636364,-0.06311155204703589,-0.09917529607391357,-0.05375661812613142
Jalen Johnson,player_rebounds_alternate,Over,6.5,1.45,-222,0.6162260655258285,0.6894409937888198,-0.07321492826299136,-0.10619462567875326,0.14971790703180243
Tyus Jones,player_points_alternate,Over,10.5,1.57,-175,0.578651037741317,0.6363636363636364,-0.05771259862231937,-0.0906912264065019,0.04345436965521893
Giannis Antetokounmpo,player_rebounds_alternate,Under,13.5,1.59,-169,0.4762007952698768,0.6282527881040892,-0.15205199283421245,-0.24202358622723757,-1.720667402926182
Nick Richards,player_points_alternate,Over,8.5,1.57,-175,0.5824149670953149,0.6363636363636364,-0.053948669268321425,-0.08477648027879087,0.11122589158876317
Caleb Martin,player_points_alternate,Under,10.5,1.45,-222,0.5902427561455296,0.6894409937888198,-0.09919823764329028,-0.1438821284736012,-0.3061429598951373
Anthony Edwards,player_points_alternate,Over,26.5,1.61,-163,0.5615540321290502,0.6197718631178707,-0.058217830988820496,-0.09393429171815826,-0.0848958474525812
Jabari Walker,player_points_alternate,Under,12.5,1.5,-200,0.5834807836737779,0.6666666666666666,-0.08318588299288876,-0.1247788244893332,-0.19180386486723114
Tyler Herro,player_points_alternate,Over,18.5,1.65,-153,0.5675637837003904,0.6047430830039525,-0.03717929930356212,-0.06147949492680532,0.19204194270535568
Saddiq Bey,player_points_alternate,Over,12.5,1.59,-169,0.5802156108778075,0.6282527881040892,-0.04803717722628176,-0.07646154244893372,0.1602176510269698
Kevin Durant,player_rebounds_alternate,Under,8.5,1.34,-294,0.5045957489090925,0.7461928934010152,-0.2415971444919227,-0.3237730439789713,-2.3268790401072974
Xavier Tillman,player_points,Under,11.5,1.8,-125,0.5773568327452622,0.5555555555555556,0.02180127718970659,0.0392422989414718,0.958799490377944
